Timestamp,speed_over_ground,Longitude,Latitude,engine_fuel_rate
2023-01-30 23:00:00,3.08,-119.605263,35.162237,14.92
2023-01-30 23:00:01,4.11,-118.857776,35.228734,21.02
2023-01-30 23:00:02,4.04,-118.110278,35.295227,20.53
2023-01-30 23:00:03,3.5,-117.362786,35.361725,17.21
2023-01-30 23:00:04,,-116.615295,35.428215,17.38
2023-01-30 23:00:05,3.62,-115.867809,35.494706,17.78
2023-01-30 23:00:06,3.82,-115.120313,35.561197,18.9
2023-01-30 23:00:07,4.11,-114.372822,35.627691,20.57
2023-01-30 23:00:08,4.09,-113.625336,35.694185,20.38
2023-01-30 23:00:09,4.03,-112.87784,35.760679,19.94
2023-01-30 23:00:10,4.42,-112.130356,,22.21
2023-01-30 23:00:11,4.03,-111.382859,35.893669,19.79
2023-01-30 23:00:12,4.25,-110.635372,35.960162,21.04
2023-01-30 23:00:13,4.4,-109.887881,36.026651,21.87
2023-01-30 23:00:14,4.57,-109.140391,36.093152,22.81
2023-01-30 23:00:15,4.97,-108.392893,,25.14
2023-01-30 23:00:16,4.46,-107.645405,36.226131,22.0
2023-01-30 23:00:17,4.85,-106.89791,36.292631,24.26
2023-01-30 23:00:18,5.01,-106.150425,36.359123,25.14
2023-01-30 23:00:19,4.54,-105.402931,36.425612,22.25
2023-01-30 23:00:20,5.17,-104.655438,36.492109,25.96
2023-01-30 23:00:21,4.81,-103.907944,36.558603,23.72
2023-01-30 23:00:22,4.78,-103.160457,36.625093,23.47
2023-01-30 23:00:23,5.74,-102.412963,36.691594,29.15
2023-01-30 23:00:24,5.83,-101.665469,,29.62
2023-01-30 23:00:25,5.75,-100.91798,36.824579,29.06
2023-01-30 23:00:26,5.32,-100.170493,36.89107,26.4
2023-01-30 23:00:27,5.19,-99.423004,36.957563,25.55
2023-01-30 23:00:28,5.85,-98.675504,37.024059,29.43
2023-01-30 23:00:29,5.68,-97.928021,37.090551,28.34
2023-01-30 23:00:30,5.44,-97.180521,37.15704,26.82
2023-01-30 23:00:31,5.89,-96.433033,37.223538,29.45
2023-01-30 23:00:32,5.5,-95.685538,37.290034,27.03
2023-01-30 23:00:33,83.61,-94.938048,37.356524,32.66
2023-01-30 23:00:34,5.88,-94.190555,37.423014,29.16
2023-01-30 23:00:35,6.36,-93.44307,37.489514,31.96
2023-01-30 23:00:37,6.36,-91.948087,37.622496,31.82
2023-01-30 23:00:38,6.47,-91.200594,37.688989,32.4
2023-01-30 23:00:39,6.18,-90.453102,37.755484,30.58
2023-01-30 23:00:40,7.04,-88.958116,37.888475,35.67
2023-01-30 23:00:41,6.92,-87.463133,38.02146,34.88
2023-01-30 23:00:42,7.16,-85.968152,38.154443,36.24
2023-01-30 23:00:43,7.19,-84.473173,38.287437,36.34
2023-01-30 23:00:44,6.97,-82.97819,38.420424,34.95
2023-01-30 23:00:45,7.37,-81.483204,38.553411,37.27
2023-01-30 23:00:46,6.61,-79.988227,38.686392,32.64
2023-01-30 23:00:47,6.79,-78.493245,38.819381,33.65
2023-01-30 23:00:49,7.07,-75.503278,39.085358,35.18
2023-01-30 23:00:50,7.21,-74.008295,39.218337,35.94
2023-01-30 23:00:51,7.17,-72.513313,39.351325,35.62
2023-01-30 23:00:52,7.8,-71.018333,39.484316,39.33
2023-01-30 23:00:53,7.4,-69.52335,39.617307,36.86
2023-01-30 23:00:54,7.4,-68.028358,39.75029,36.78
2023-01-30 23:00:55,7.74,-66.533381,39.883277,38.74
